2015-12-26 16:41:58 INFO  Steps:30 - Browser started
2016-01-07 16:30:08 INFO  LoginPage:36 - Login page opened
2016-01-07 16:30:20 INFO  LoginPage:44 - User logged in
2016-01-07 16:30:35 INFO  LastFmTest:33 - User really logged in
2016-01-07 16:30:40 INFO  Steps:35 - Browser closed
2016-01-07 16:31:24 INFO  Steps:29 - Browser started
2016-01-07 16:31:31 INFO  LoginPage:36 - Login page opened
2016-01-07 16:31:35 INFO  LoginPage:44 - User logged in
2016-01-07 16:32:07 INFO  Steps:35 - Browser closed
2016-01-07 16:46:08 INFO  Steps:29 - Browser started
2016-01-07 16:46:14 INFO  LoginPage:36 - Login page opened
2016-01-07 16:46:50 INFO  Steps:35 - Browser closed
2016-01-07 16:54:52 INFO  Steps:29 - Browser started
2016-01-07 16:56:33 INFO  LoginPage:36 - Login page opened
2016-01-07 16:58:38 INFO  Steps:35 - Browser closed
2016-01-07 17:00:31 INFO  Steps:29 - Browser started
2016-01-07 17:00:37 INFO  LoginPage:36 - Login page opened
2016-01-07 17:00:55 INFO  LastFmTest:33 - expected user SerP_94 isLoggedIn to be true, actual value is true
2016-01-07 17:00:57 INFO  Steps:35 - Browser closed
2016-01-07 17:03:06 INFO  Steps:29 - Browser started
2016-01-07 17:03:14 INFO  LoginPage:36 - Login page opened
2016-01-07 17:03:49 INFO  Steps:35 - Browser closed
2016-01-07 20:11:27 INFO  Steps:29 - Browser started
2016-01-07 20:11:34 INFO  LoginPage:36 - Login page opened
2016-01-07 20:12:10 INFO  Steps:35 - Browser closed
2016-01-07 21:12:32 INFO  Steps:29 - Browser started
2016-01-07 21:12:44 INFO  LoginPage:36 - Login page opened
2016-01-07 21:13:31 INFO  Steps:35 - Browser closed
2016-01-07 21:14:25 INFO  Steps:29 - Browser started
2016-01-07 21:14:32 INFO  LoginPage:36 - Login page opened
2016-01-07 21:15:07 INFO  Steps:35 - Browser closed
2016-01-08 00:59:16 INFO  Steps:29 - Browser started
2016-01-08 00:59:28 INFO  LoginPage:36 - Login page opened
2016-01-08 01:00:15 INFO  Steps:35 - Browser closed
2016-01-08 01:01:07 INFO  Steps:29 - Browser started
2016-01-08 01:01:14 INFO  LoginPage:36 - Login page opened
2016-01-08 01:01:30 INFO  UserLibraryPage:50 - User library page opened
2016-01-08 01:05:39 INFO  UserLibraryPage:50 - User library page opened
2016-01-08 01:05:47 INFO  Steps:35 - Browser closed
2016-01-08 01:05:54 INFO  Steps:29 - Browser started
2016-01-08 01:05:54 INFO  LoginPage:36 - Login page opened
2016-01-08 01:06:53 INFO  Steps:35 - Browser closed
2016-01-08 01:07:01 INFO  Steps:29 - Browser started
2016-01-08 01:07:07 INFO  LoginPage:36 - Login page opened
2016-01-08 01:09:35 INFO  Steps:29 - Browser started
2016-01-08 01:09:41 INFO  LoginPage:36 - Login page opened
2016-01-08 01:10:47 INFO  Steps:35 - Browser closed
2016-01-08 01:11:32 INFO  Steps:35 - Browser closed
2016-01-08 01:11:41 INFO  Steps:29 - Browser started
2016-01-08 01:11:48 INFO  LoginPage:36 - Login page opened
2016-01-08 01:12:07 INFO  UserPage:57 - User page opened
2016-01-08 01:16:21 INFO  Steps:35 - Browser closed
2016-01-08 01:16:28 INFO  Steps:29 - Browser started
2016-01-08 01:21:02 INFO  Steps:35 - Browser closed
2016-01-08 01:47:20 INFO  Steps:29 - Browser started
2016-01-08 01:47:29 INFO  LoginPage:38 - Login page opened
2016-01-08 01:48:50 INFO  Steps:35 - Browser closed
2016-01-08 01:49:51 INFO  Steps:29 - Browser started
2016-01-08 01:49:58 INFO  LoginPage:38 - Login page opened
2016-01-08 01:50:35 INFO  LastFmTest:33 - expected user SerP_94 isLoggedIn to be true, actual value is false
2016-01-08 01:50:36 INFO  Steps:35 - Browser closed
2016-01-08 01:54:09 INFO  Steps:29 - Browser started
2016-01-08 01:54:19 INFO  LoginPage:38 - Login page opened
2016-01-08 01:54:55 ERROR LastFmTest:36 - expected user SerP_94 isLoggedIn to be true, actual value is false
2016-01-08 01:54:55 INFO  Steps:35 - Browser closed
2016-01-08 01:58:09 INFO  Steps:29 - Browser started
2016-01-08 01:58:14 INFO  LoginPage:38 - Login page opened
2016-01-08 01:58:54 INFO  LastFmTest:34 - expected user SerP_94 isLoggedIn to be true, actual value is true
2016-01-08 01:58:55 INFO  Steps:35 - Browser closed
2016-01-08 02:04:41 INFO  Steps:29 - Browser started
2016-01-08 02:04:51 INFO  LoginPage:38 - Login page opened
2016-01-08 02:05:01 INFO  UserPage:57 - User page opened
2016-01-08 02:05:20 INFO  LastFmTest:57 - Comment is posted successfully
2016-01-08 02:05:22 INFO  Steps:35 - Browser closed
2016-01-08 02:14:30 INFO  Steps:29 - Browser started
2016-01-08 02:14:37 INFO  LoginPage:38 - Login page opened
2016-01-08 02:14:47 INFO  UserPage:57 - User page opened
2016-01-08 02:15:04 INFO  LastFmTest:57 - Comment is posted successfully
2016-01-08 02:15:05 INFO  Steps:35 - Browser closed
2016-01-08 02:17:36 INFO  Steps:29 - Browser started
2016-01-08 02:17:42 INFO  LoginPage:38 - Login page opened
2016-01-08 02:18:00 INFO  UserPage:57 - User page opened
2016-01-08 02:18:17 ERROR LastFmTest:59 - Comment is not posted
2016-01-08 02:18:18 INFO  Steps:35 - Browser closed
2016-01-08 02:20:52 INFO  Steps:29 - Browser started
2016-01-08 02:20:52 INFO  LoginPage:38 - Login page opened
2016-01-08 02:21:20 INFO  UserPage:57 - User page opened
2016-01-08 02:21:38 ERROR LastFmTest:59 - Comment is not posted
2016-01-08 02:21:39 INFO  Steps:35 - Browser closed
2016-01-08 02:25:39 INFO  Steps:29 - Browser started
2016-01-08 02:25:46 INFO  LoginPage:38 - Login page opened
2016-01-08 02:26:01 INFO  UserPage:57 - User page opened
2016-01-08 02:27:08 INFO  LastFmTest:57 - Comment is posted successfully
2016-01-08 02:33:01 INFO  Steps:29 - Browser started
2016-01-08 02:33:09 INFO  LoginPage:38 - Login page opened
2016-01-08 02:33:59 INFO  UserLibraryPage:50 - User library page opened
2016-01-08 02:34:09 INFO  UserLibraryPage:50 - User library page opened
2016-01-08 02:34:15 INFO  LastFmTest:86 - Song is posted successfully
2016-01-08 02:34:20 INFO  UserLibraryPage:50 - User library page opened
2016-01-08 02:34:27 INFO  Steps:35 - Browser closed
2016-01-08 02:40:51 INFO  Steps:29 - 
==========================================
Browser started
2016-01-08 02:41:00 INFO  LoginPage:38 - Login page opened
2016-01-08 02:41:37 INFO  UserLibraryPage:50 - User library page opened
2016-01-08 02:41:42 INFO  UserLibraryPage:50 - User library page opened
2016-01-08 02:41:47 INFO  LastFmTest:91 - Song is deleted successfully
2016-01-08 02:41:49 INFO  UserLibraryPage:50 - User library page opened
2016-01-08 02:41:56 INFO  Steps:35 - Browser closed
2016-01-08 02:42:04 INFO  Steps:29 - 
==========================================
Browser started
2016-01-08 02:42:12 INFO  LoginPage:38 - Login page opened
2016-01-08 02:42:35 INFO  LastFmTest:35 - User is logged in successfully
2016-01-08 02:42:36 INFO  Steps:35 - Browser closed
2016-01-08 02:42:45 INFO  Steps:29 - 
==========================================
Browser started
2016-01-08 02:43:04 INFO  LoginPage:38 - Login page opened
2016-01-08 02:43:27 INFO  UserPage:57 - User page opened
2016-01-08 02:43:50 INFO  LastFmTest:108 - User is logged out successfully
2016-01-08 02:43:52 INFO  Steps:35 - Browser closed
2016-01-08 02:44:01 INFO  Steps:29 - 
==========================================
Browser started
2016-01-08 02:44:07 INFO  LoginPage:38 - Login page opened
2016-01-08 02:44:28 INFO  UserPage:57 - User page opened
2016-01-08 02:44:43 INFO  LastFmTest:65 - Comment is posted successfully
2016-01-08 02:44:45 INFO  Steps:35 - Browser closed
2016-01-08 02:44:52 INFO  Steps:29 - 
==========================================
Browser started
2016-01-08 02:45:24 INFO  LastFmTest:48 - Search is completed successfully
2016-01-08 02:45:25 INFO  Steps:35 - Browser closed
2016-01-08 02:47:57 INFO  Steps:29 - Browser started
2016-01-08 02:48:30 INFO  LastFmTest:48 - Search is completed successfully
2016-01-08 02:48:34 INFO  Steps:35 - Browser closed
====================================
2016-01-08 02:50:19 INFO  Steps:29 - Browser started
2016-01-08 02:50:26 INFO  LoginPage:38 - Login page opened
2016-01-08 02:50:46 INFO  LastFmTest:35 - User is logged in successfully
2016-01-08 02:50:47 INFO  Steps:35 - Browser closed
====================================
